time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-11T02:04:35.770Z,38.7718315124512,-122.742835998535,1.5,1.92,md,38.0,37.0,0.01235,0.05,nc,nc75033492,2024-07-11T02:07:41.110Z,"1 km SE of The Geysers, CA",earthquake,0.2,0.300000012,0.17,36.0,automatic,nc,nc
2024-07-11T01:51:57.863Z,29.117,-97.866,4.6274,2.2,ml,24.0,118.0,0.1,0.8,tx,tx2024nmyh,2024-07-11T02:34:01.652Z,"16 km SE of Stockdale, Texas",earthquake,0.0,1.18907999033352,0.1,18.0,automatic,tx,tx
2024-07-10T19:29:40.130Z,52.0801666666667,-176.1385,-1.78,0.34,ml,5.0,133.0,0.02459,0.2,av,av93192761,2024-07-11T02:36:54.180Z,"41 km NE of Adak, Alaska",earthquake,0.44,0.83,0.158468086739475,5.0,reviewed,av,av
2024-07-11T02:17:36.390Z,33.8626667,-116.2206667,7.88,2.6,ml,81.0,54.0,0.06572,0.15,ci,ci40655919,2024-07-11T02:43:53.518Z,"16 km N of Indio, CA",earthquake,0.11,0.39,0.18,25.0,automatic,ci,ci
2024-07-11T02:11:05.684Z,61.5577,-141.0338,0.0,2.8,ml,,,,0.61,ak,ak0248v7z7u0,2024-07-11T02:12:58.049Z,"101 km E of McCarthy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-07-10T19:19:31.220Z,57.0468333333333,-135.6705,7.48,-0.2,ml,4.0,287.0,0.02135,0.08,av,av93192751,2024-07-11T02:21:52.690Z,"20 km W of Sitka, Alaska",earthquake,1.03,0.59,0.211868085210893,4.0,reviewed,av,av
2024-07-11T03:07:35.820Z,61.1296,-154.077,66.2,1.5,ml,,,,0.85,ak,ak0248v8juwe,2024-07-11T03:09:37.162Z,"77 km ESE of Lime Village, Alaska",earthquake,,1.7,,,automatic,ak,ak
2024-07-11T02:59:21.503Z,61.557,-141.2221,0.0,1.6,ml,,,,0.63,ak,ak0248v89jel,2024-07-11T03:02:02.897Z,"91 km E of McCarthy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-07-11T02:59:13.602Z,64.4154,-149.5536,15.0,1.1,ml,,,,0.47,ak,ak0248v89it8,2024-07-11T03:02:12.860Z,"19 km WNW of Anderson, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-07-10T20:16:15.360Z,57.064,-135.692,7.79,-0.36,ml,4.0,237.0,0.009073,0.09,av,av93192791,2024-07-11T02:58:05.510Z,"21 km W of Sitka, Alaska",earthquake,1.05,0.67,0.153823721721754,4.0,reviewed,av,av
2024-07-11T03:01:18.427Z,37.0126,137.4273,10.0,4.9,mb,59.0,72.0,0.779,0.92,us,us7000myhp,2024-07-11T03:23:42.040Z,"10 km NW of Nyūzen, Japan",earthquake,4.75,1.855,0.039,205.0,reviewed,us,us
2024-07-11T02:55:19.305Z,-8.7449,-74.6308,132.926,4.8,mb,65.0,104.0,3.888,0.87,us,us7000myhh,2024-07-11T03:17:24.040Z,"9 km ENE of Honoria, Peru",earthquake,7.52,7.443,0.031,326.0,reviewed,us,us
2024-07-10T21:15:19.820Z,52.369,-174.116666666667,5.88,-0.01,ml,4.0,262.0,0.02369,0.21,av,av93192841,2024-07-11T03:18:55.350Z,"20 km NNE of Atka, Alaska",earthquake,1.38,1.16,0.328943570580593,4.0,reviewed,av,av
2024-07-10T21:11:43.780Z,52.4078333333333,-174.168166666667,4.39,0.05,ml,6.0,232.0,0.02993,0.12,av,av93192836,2024-07-11T03:20:42.980Z,"23 km N of Atka, Alaska",earthquake,0.58,0.68,0.36492227982423,6.0,reviewed,av,av
